Strategy_Description,Start_Date,End_Date,Profit_Factor,Expectancy,Mean_Return_%
Pullback Trend 10/20/50,31-10-2020,31-10-2025,2.043425946,206.7250197,46.72135243
MA Crossover 20/50,31-10-2020,31-10-2025,3.448297985,1371.585193,158.8305687
MA Crossover 20/50 with Volume confirmation,31-10-2020,31-10-2025,4.241193548,1421.101383,153.4736699
MA Crossover 20/50 with Volume surge,31-10-2020,31-10-2025,5.183843855,1381.210353,128.6781062
MA Crossover 20/50 with Volume surge and Trend Filter,31-10-2020,31-10-2025,5.037717935,1451.801595,110.9251948
SuperTrend Strategy,31-10-2020,31-10-2025,8.595736222,9711.535606,168.2810754
MA Crossover 9/21 with Volume surge and Trend Filter,31-10-2020,31-10-2025,2.132077609,536.0998153,91.46684153
MA Crossover 9/21 with Volume surge,31-10-2020,31-10-2025,2.037026421,551.8831117,106.3861844
MA Crossover 20/50 with Volume surge,31-10-2020,31-10-2025,5.183843855,1381.210353,128.6781062
MA Crossover 50/200 with Volume surge,2020-10-31,2025-10-31,25.9289472706985,5719.481169274389,107.88230145313167
